,Pos,School,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Height,Drafted
257,RB,Houston,199.0,4.6,32.0,12.0,118.0,6.63,4.3,5.58,0
258,OLB,California,241.0,4.75,32.5,,111.0,7.33,4.38,6.25,1
259,OG,Arizona,308.0,5.34,25.0,24.0,92.0,,,6.17,1
260,WR,Michigan State,194.0,4.59,33.5,,119.0,,,6.0,1
261,CB,North Carolina State,193.0,4.5,34.0,11.0,116.0,7.45,4.24,5.83,1
262,DT,Utah,316.0,5.13,28.5,24.0,102.0,7.78,4.6,6.17,1
263,FB,Michigan,253.0,4.81,37.5,,114.0,6.72,4.3,6.33,1
264,CB,Oklahoma State,195.0,4.53,35.0,5.0,120.0,,,6.08,1
265,OLB,San Jose State,262.0,4.78,,,,,,6.25,0
266,OT,Mississippi State,318.0,5.65,22.5,18.0,98.0,8.48,4.81,6.42,1
267,ILB,Penn State,252.0,4.72,,,,,,6.25,1
268,WR,Wyoming,180.0,4.66,33.0,,119.0,7.18,4.1,6.17,0
269,DT,Florida State,297.0,4.83,,,,,,6.17,1
270,OLB,Kansas State,237.0,4.6,36.0,24.0,117.0,7.08,4.09,6.0,1
271,ILB,Oregon,246.0,4.84,34.5,20.0,115.0,7.21,4.27,6.17,1
272,ILB,Southern Miss,247.0,4.87,30.0,24.0,112.0,7.08,4.26,6.0,1
273,S,Youngstown State,198.0,4.57,35.0,13.0,115.0,7.18,4.29,6.08,0
274,ILB,Virginia Tech,245.0,5.18,29.5,,108.0,7.51,4.58,6.0,0
275,RB,Arizona,207.0,4.5,,,,,,5.83,0
276,OT,Arizona State,320.0,5.37,27.5,24.0,100.0,7.87,4.83,6.42,1
277,FB,Texas-El Paso,220.0,4.65,,25.0,,,,5.92,1
278,DE,Michigan State,275.0,4.88,,,,,,6.33,1
279,FB,Arizona State,249.0,5.0,32.5,19.0,109.0,8.38,4.85,6.0,1
280,WR,USC,177.0,4.34,35.0,,124.0,,,5.75,1
281,RB,Boise State,204.0,4.78,33.0,13.0,113.0,7.18,4.47,5.83,0
282,WR,Syracuse,184.0,4.55,33.5,,123.0,,,5.92,0
283,TE,Boise State,250.0,4.78,38.0,24.0,115.0,6.84,4.14,6.25,1
284,RB,Virginia Tech,204.0,4.6,35.0,13.0,111.0,7.14,4.14,5.58,1
285,TE,Northwestern,255.0,4.75,,31.0,,,,6.25,1
286,OG,Wisconsin,318.0,5.37,27.0,22.0,90.0,7.91,4.84,6.25,1
287,OLB,Virginia,249.0,4.65,34.5,,115.0,,,6.25,1
288,WR,Florida,199.0,4.43,37.0,,118.0,7.15,,6.08,1
289,DE,Southern Miss,270.0,4.56,38.5,,120.0,,4.42,6.17,1
290,OG,South Carolina,300.0,5.22,29.5,23.0,100.0,7.99,,6.25,1
291,OT,Tennessee State,305.0,5.28,26.0,16.0,104.0,7.99,4.73,6.33,1
292,OLB,Tennessee,220.0,4.65,,,,,,6.25,1
293,S,Georgia Tech,194.0,4.6,37.5,15.0,123.0,6.95,4.29,6.08,1
294,DT,Idaho,310.0,5.26,28.5,19.0,99.0,7.72,4.6,6.42,1
295,DT,Washington,296.0,5.09,29.0,25.0,99.0,7.82,4.72,6.5,0
296,OG,Washington State,297.0,5.16,27.0,21.0,96.0,8.18,4.95,6.42,0
297,ILB,Hawaii,249.0,4.65,32.0,24.0,109.0,7.23,4.3,6.0,1
298,OLB,New Mexico,258.0,4.59,34.0,27.0,122.0,6.94,4.18,6.33,1
299,CB,Texas State,196.0,4.53,36.5,14.0,121.0,7.09,4.16,5.92,1
300,OG,Texas A&M,306.0,5.2,28.5,14.0,108.0,7.54,4.42,6.33,0
301,OT,Mississippi,326.0,5.22,27.5,29.0,101.0,7.68,4.68,6.67,1
302,P,Mississippi State,218.0,,,,,,,5.83,0
303,DT,Tennessee,293.0,4.82,,,,,,6.17,1
304,WR,Stanford,171.0,4.55,32.5,,106.0,6.61,3.84,5.5,1
306,DT,Nebraska,307.0,5.1,30.5,29.0,105.0,7.97,4.56,6.08,1
307,WR,Florida State,194.0,4.58,,,,,,5.92,1
308,CB,Texas A&M,180.0,4.42,35.5,17.0,122.0,6.76,3.98,5.75,1
309,TE,Kentucky,228.0,4.78,31.0,,110.0,7.42,4.22,6.17,1
310,TE,Iowa,254.0,4.66,32.5,,121.0,6.97,4.18,6.33,1
311,CB,Colorado,179.0,4.51,35.0,11.0,115.0,7.21,4.27,5.75,1
312,RB,Kentucky,195.0,4.68,32.5,,118.0,7.05,4.24,6.0,0
313,CB,Massachusetts,213.0,4.61,38.5,14.0,118.0,6.96,4.53,6.08,0
314,WR,Georgia Tech,218.0,4.62,37.5,,124.0,6.91,4.09,6.08,1
315,RB,Ohio State,193.0,4.5,,,,,,5.92,1
316,RB,South Carolina,222.0,4.52,,,,,,5.92,0
317,OT,Arkansas,332.0,5.26,29.0,28.0,97.0,7.78,4.72,6.33,1
318,WR,Marshall,180.0,4.59,36.0,,123.0,7.22,4.16,5.92,1
319,S,Azusa Pacific,206.0,4.72,31.5,15.0,108.0,7.15,4.65,5.83,1
320,DT,Michigan,282.0,4.9,30.5,,111.0,7.22,4.25,6.25,1
321,OLB,Texas A&M-Commerce,245.0,4.56,,11.0,,,,6.17,1
322,DT,Texas,290.0,5.21,30.5,23.0,109.0,,,6.17,1
